Date,Open,High,Low,Close,Adj. Close,Volume
11/17/2011,39.062239,40.293848,39.062239,39.209295,36,"38,503,600"
11/18/2011,39.246061,39.576941,38.143127,38.602682,36,"5,961,700"
11/21/2011,38.602682,39.025473,36.801223,37.315925,34,"5,189,500"
11/22/2011,37.315925,38.069597,36.121081,36.580637,34,"6,554,200"
11/23/2011,36.212994,36.304903,35.330644,36.084316,33,"2,327,700"
11/25/2011,35.937258,36.433579,35.845348,36.121081,33,"613,200"
11/28/2011,36.507109,37.35269,36.157846,36.83799,34,"1,535,800"
11/29/2011,36.76446,36.76446,36.212994,36.746077,34,"1,171,100"
11/30/2011,37.040192,39.448263,36.985047,38.308567,35,"1,249,400"
12/1/2011,38.510773,38.694593,37.407837,38.253419,35,"1,052,400"
12/2/2011,38.510773,39.429884,38.41886,39.282826,36,"1,281,800"
12/5/2011,39.429884,40.275465,39.337971,40.018114,37,"4,534,700"
12/6/2011,39.779144,40.900461,39.723999,40.679872,37,"1,149,400"
12/7/2011,40.312229,40.624727,40.110026,40.440905,37,"345,600"
12/8/2011,39.926202,40.330613,39.742382,39.871058,37,"828,700"
12/9/2011,39.742382,40.404141,39.062239,39.98135,37,"1,080,500"
12/12/2011,39.337971,39.687235,39.062239,39.540176,36,"946,300"
12/13/2011,39.797528,40.110026,38.988708,39.172531,36,"1,225,200"
12/14/2011,38.749741,38.951945,37.77548,37.940921,35,"2,308,400"
12/15/2011,38.565918,40.220318,38.216656,38.529152,35,"1,563,400"
12/16/2011,38.529152,39.521793,38.124745,38.547535,35,"461,200"
12/19/2011,38.731358,38.91518,38.161508,38.584299,35,"326,800"
12/20/2011,39.393118,39.871058,38.91518,39.521793,36,"702,200"
12/21/2011,39.282826,39.852674,39.135767,39.337971,36,"589,000"
12/22/2011,39.393118,40.165172,39.393118,40.05488,37,"821,300"
12/23/2011,40.110026,41.268107,39.760761,40.330613,37,"1,189,700"
12/27/2011,42.076923,42.076923,39.301206,39.797528,37,"971,700"
12/28/2011,40.018114,40.110026,38.768122,38.951945,36,"317,500"
12/29/2011,39.007091,39.393118,38.639448,39.374737,36,"634,000"
12/30/2011,39.448263,39.779144,38.768122,39.595324,36,"280,700"
1/3/2012,40.643111,42.150453,39.999731,40.882078,38,"2,149,800"
1/4/2012,42.70192,42.70192,40.165172,41.433546,38,"863,400"
1/5/2012,41.249724,41.249724,39.999731,40.698255,37,"1,474,800"
1/6/2012,40.698255,41.966631,40.440905,41.451927,38,"1,269,500"
1/9/2012,41.562222,41.746042,41.323252,41.746042,38,"918,400"
1/10/2012,42.13207,44.117352,42.13207,43.804854,40,"2,080,700"
1/11/2012,43.749706,44.154115,43.36368,44.02544,40,"498,700"
1/12/2012,44.301174,45.955574,43.841617,45.385725,42,"2,222,400"
1/13/2012,45.09161,46.543806,44.632056,45.587929,42,"1,186,200"
1/17/2012,45.863665,46.194542,44.613672,44.779112,41,"1,946,900"
1/18/2012,44.503378,45.955574,44.503378,45.036463,41,"1,249,400"
1/19/2012,45.367344,46.268072,45.201902,46.08425,42,"2,097,600"
1/20/2012,45.992338,46.32322,45.845282,46.139396,42,"1,166,700"
1/23/2012,46.286455,47.481299,46.102633,46.837922,43,"1,073,700"
1/24/2012,46.50704,47.554829,46.286455,47.444534,44,"895,000"
1/25/2012,47.444534,47.591592,46.819538,47.352623,44,"1,323,900"
1/26/2012,47.518064,48.970258,46.268072,47.701887,44,"1,757,900"
1/27/2012,49.558491,50.36731,48.106295,49.926136,46,"5,602,700"
1/30/2012,49.907753,50.643041,48.841584,49.779078,46,"1,480,700"
1/31/2012,50.128341,50.532749,48.841584,49.319523,45,"1,214,000"
2/1/2012,49.870989,52.738617,49.613638,52.554794,48,"1,563,600"
2/2/2012,51.709211,53.381996,51.231276,53.253318,49,"1,253,700"
2/3/2012,53.74964,57.04006,53.712875,56.525356,52,"5,983,200"
2/6/2012,56.286389,56.580504,54.962866,56.102565,52,"3,619,300"
2/7/2012,56.0658,56.0658,54.558458,55.293747,51,"1,736,600"
2/8/2012,55.477569,55.606245,53.473905,54.962866,51,"3,313,800"
2/9/2012,55.128308,55.183454,54.080521,54.779043,50,"3,311,000"
2/10/2012,54.209194,55.459186,53.970227,55.220219,51,"3,267,100"
2/13/2012,55.165071,55.606245,55.018013,55.165071,51,"3,240,400"
2/14/2012,53.657729,54.209194,52.848909,53.418758,49,"18,907,400"
2/15/2012,53.74964,54.797426,53.547434,54.00699,50,"10,502,900"
2/16/2012,54.227577,56.598887,53.970227,55.734921,51,"10,678,800"
2/17/2012,56.176094,57.904024,55.459186,57.517998,53,"9,841,100"
2/21/2012,60.495918,60.624594,55.771684,56.856237,52,"8,424,200"
2/22/2012,57.076822,57.62829,55.716537,57.021677,52,"3,183,600"
2/23/2012,57.297409,57.720202,56.176094,56.984913,52,"2,570,200"
2/24/2012,56.893002,58.363579,56.617265,57.701818,53,"2,449,600"
2/27/2012,57.701818,58.142992,57.04006,57.517998,53,"4,740,600"
2/28/2012,57.848877,59.154014,57.720202,58.602547,54,"2,828,500"
2/29/2012,59.154014,59.650336,58.106228,58.823135,54,"5,399,400"
3/1/2012,59.062105,59.723866,57.665056,58.823135,54,"5,625,700"
3/2/2012,58.326815,59.723866,58.326815,59.429751,55,"3,568,700"
3/5/2012,59.374601,59.981216,57.62829,58.161373,53,"4,053,500"
3/6/2012,57.665056,58.179757,54.760664,55.109925,51,"2,304,000"
3/7/2012,54.779043,56.745943,54.779043,55.165071,51,"1,494,500"
3/8/2012,55.992271,58.657694,55.606245,58.27167,54,"7,886,500"
3/9/2012,57.995933,58.639313,57.812113,58.510637,54,"1,404,600"
3/12/2012,58.657694,59.374601,57.977552,58.676077,54,"7,648,500"
